ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
1QR,12,4,7,22.93565527603066,4.5726717885103065,mixed,female,1992
1QR,114,4,7,23.428488002475806,3.6327074772301406,mixed,female,1992
1T,12,4,4,24.062402201173814,4.62388598577224,mixed,female,1992
1T,114,4,4,25.31050362635179,3.665126820540483,mixed,female,1992
1V,114,3,2,16.563852193684575,3.7513512491956034,mixed,female,1992
1V,12,3,2,13.036903462425085,4.726886883151084,mixed,female,1992
20M,114,3,10,28.421675070216978,3.697283270556399,mixed,female,1992
20M,12,3,10,28.25270368889588,4.633752048935245,mixed,female,1992
20R,12,3,6,23.705999925892062,4.698123562699314,mixed,female,1992
20R,114,3,6,24.65773862784129,3.7614270488842734,mixed,female,1992
20U,12,4,3,22.452784085590633,4.741202343211699,mixed,female,1992
20U,114,4,3,24.58671844863443,3.7794422405472203,mixed,female,1992
20V,12,3,2,14.13868427602323,4.82037000229642,mixed,female,1992
20V,114,3,2,17.3960784270037,3.8301771734907595,mixed,female,1992
21I,12,3,14,29.825848205713868,4.554745418323867,mixed,female,1992
21I,114,3,14,29.938263309524732,3.685006289525878,mixed,female,1992
21W,12,2,2,14.853416806011545,4.439457051867061,mixed,female,1992
21W,114,2,2,18.170169632084693,3.539247229184935,mixed,female,1992
22J,114,4,13,27.67531006788776,3.850045137497132,mixed,female,1992
22J,12,4,13,27.29823708360644,4.78719200082977,mixed,female,1992
22Q,114,2,7,26.11664588778421,3.7945855267250446,mixed,female,1992
22Q,12,2,7,25.00244485106429,4.765577841049456,mixed,female,1992
22U,114,3,3,25.652601052308622,3.785265967066877,mixed,female,1992
22U,12,3,3,23.95678010118312,4.768212349022089,mixed,female,1992
23T,114,3,4,25.750156585957235,3.581678398286281,mixed,female,1992
23T,12,3,4,24.352728262475612,4.503517413146246,mixed,female,1992
23U,12,2,3,16.423811457663,4.716253055602981,mixed,female,1992
23U,114,2,3,19.039987361761167,3.7413656538191975,mixed,female,1992
25R,12,4,6,26.413528079601384,4.743176740626871,mixed,female,1992
25R,114,4,6,26.97488986401465,3.8177046881412213,mixed,female,1992
25S,114,3,5,26.92664247871154,3.7403403538060034,mixed,female,1992
25S,12,3,5,26.49208780218906,4.630140469588096,mixed,female,1992
25V,114,3,2,21.264263195739773,3.630412224474723,mixed,female,1992
25V,12,3,2,18.769299639530885,4.545020323990006,mixed,female,1992
26R,12,3,6,25.131220119940572,4.637826715703999,mixed,female,1992
26R,114,3,6,25.766030535456355,3.707826894388446,mixed,female,1992
26S,114,3,5,23.110676078640292,3.874722342265119,mixed,female,1992
26S,12,3,5,21.85504223044857,4.835133560783502,mixed,female,1992
26T,12,3,4,25.020597568374352,4.750601102947219,mixed,female,1992
26T,114,3,4,26.459577943956397,3.7625081800533255,mixed,female,1992
27S,12,3,5,23.149897431239367,4.6842193649012085,mixed,female,1992
27S,114,3,5,24.119703013306943,3.748640205901865,mixed,female,1992
27U,12,4,3,22.781049924154452,4.762299457839074,mixed,female,1992
27U,114,4,3,24.314922957537394,3.8314701726809965,mixed,female,1992
28T,12,2,4,23.74474397415939,4.5405058987758835,mixed,female,1992
28T,114,2,4,24.957941508245042,3.596718888609377,mixed,female,1992
28U,12,3,3,20.056328338986717,4.7258779588984305,mixed,female,1992
28U,114,3,3,21.931273014468157,3.7883470848009453,mixed,female,1992
29S,12,3,5,23.274176666396997,4.670064237173927,mixed,female,1992
29S,114,3,5,24.2465246592597,3.6925246734769104,mixed,female,1992
29U,12,3,3,23.623047842770024,4.768866370791828,mixed,female,1992
29U,114,3,3,25.301694229724042,3.7915038755582984,mixed,female,1992
29V,12,3,2,11.868396773451863,4.683008669726064,mixed,female,1992
29V,114,3,2,15.654073563114798,3.7509242217009993,mixed,female,1992
2Q,12,3,8,18.04742595840611,4.754629667404529,mixed,female,1992
2Q,114,3,8,19.241803819489874,3.7846524298736894,mixed,female,1992
2S,12,2,6,24.2341825212732,4.601009427948362,mixed,female,1992
2S,114,2,6,24.86607521240692,3.7034928996975944,mixed,female,1992
2U,114,2,3,24.024351182787,3.6611538324858435,mixed,female,1992
2U,12,2,3,23.816478563545214,4.597921062532518,mixed,female,1992
30V,114,3,2,14.371885957625496,3.747136479018393,mixed,female,1992
30V,12,3,2,10.91351059035878,4.674965629306325,mixed,female,1992
31T,12,3,4,20.386799475191097,4.642848876435595,mixed,female,1992
31T,114,3,4,22.166680340284472,3.7236168875376374,mixed,female,1992
31U,12,3,3,24.05316866457999,4.587582860245334,mixed,female,1992
31U,114,3,3,26.059780482465523,3.6495137968416125,mixed,female,1992
34M,114,4,10,28.537290758850652,3.87928130461188,mixed,female,1992
34M,12,4,10,28.507103997090194,4.83861594593868,mixed,female,1992
34U,114,4,3,22.033564171621954,3.796358959069243,mixed,female,1992
34U,12,4,3,19.35904092405549,4.700379079446324,mixed,female,1992
37T,12,4,4,23.0659385968029,4.750403731891694,mixed,female,1992
37T,114,4,4,24.232417940719873,3.8408299617906074,mixed,female,1992
37U,114,2,3,19.887468144567755,3.679548670163086,mixed,female,1992
37U,12,2,3,17.624023077578315,4.620943129019185,mixed,female,1992
3M,114,2,10,23.55473417493123,3.73230240556529,mixed,female,1992
3M,12,2,10,21.497637404715903,4.683268799850008,mixed,female,1992
3QR,12,2,7,19.20726725206287,4.801265619771064,mixed,female,1992
3QR,114,2,7,21.04133641197314,3.8048638511353827,mixed,female,1992
3S,114,4,6,25.52694019485757,3.8351186754443103,mixed,female,1992
3S,12,4,6,25.404539736061952,4.776155450181355,mixed,female,1992
40T,114,3,4,21.740584081578152,3.733116022612225,mixed,female,1992
40T,12,3,4,20.402377837532782,4.6507492930584595,mixed,female,1992
40U,114,2,3,21.043251862939922,3.837307879692184,mixed,female,1992
40U,12,2,3,19.011149204525008,4.830275392694981,mixed,female,1992
42T,12,4,4,21.73396056231235,4.534433274633294,mixed,female,1992
42T,114,4,4,23.370872688430183,3.6034598433919025,mixed,female,1992
